Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
102,637,primer,93784,0.0005903187,0.059032,67172402,42.281334
103,638,esto,92908,0.0005848048,0.058480,67265310,42.339815
104,639,según,92110,0.0005797818,0.057978,67357420,42.397793
105,640,todos,91874,0.0005782963,0.057830,67449294,42.455622
106,641,país,91668,0.0005769997,0.057700,67540962,42.513322
107,642,caso,90389,0.0005689491,0.056895,67631351,42.570217
108,643,desarrollo,89640,0.0005642345,0.056423,67720991,42.626641
109,644,otro,89160,0.0005612132,0.056121,67810151,42.682762
110,645,mundo,88457,0.0005567882,0.055679,67898608,42.738441
111,646,hacia,87616,0.0005514946,0.055149,67986224,42.793590
112,647,sido,86952,0.0005473150,0.054732,68073176,42.848322
113,648,algunos,86426,0.0005440042,0.054400,68159602,42.902722
114,649,estas,86090,0.0005418892,0.054189,68245692,42.956911
115,650,partir,85654,0.0005391448,0.053914,68331346,43.010826
116,651,nueva,83634,0.0005264301,0.052643,68414980,43.063469
117,652,hay,83384,0.0005248564,0.052486,68498364,43.115954
118,653,solo,83352,0.0005246550,0.052466,68581716,43.168420
119,654,manera,83223,0.0005238430,0.052384,68664939,43.220804
120,655,ese,83221,0.0005238304,0.052383,68748160,43.273187
121,656,número,83018,0.0005225527,0.052255,68831178,43.325442
122,657,guerra,82626,0.0005200852,0.052009,68913804,43.377451
123,658,pueden,82349,0.0005183417,0.051834,68996153,43.429285
124,659,contra,81411,0.0005124375,0.051244,69077564,43.480529
125,660,población,80683,0.0005078551,0.050786,69158247,43.531314
126,661,bien,80501,0.0005067095,0.050671,69238748,43.581985
127,662,mientras,79689,0.0005015984,0.050160,69318437,43.632145
128,663,grupo,79187,0.0004984386,0.049844,69397624,43.681989
129,664,poder,78217,0.0004923330,0.049233,69475841,43.731222
130,665,tras,77916,0.0004904384,0.049044,69553757,43.780266
131,666,personas,77268,0.0004863596,0.048636,69631025,43.828902
132,667,sociales,77136,0.0004855287,0.048553,69708161,43.877455
133,668,sino,77124,0.0004854532,0.048545,69785285,43.926000
134,669,españa,76874,0.0004838796,0.048388,69862159,43.974388
135,670,https,76059,0.0004787496,0.047875,69938218,44.022263
136,671,tipo,74999,0.0004720775,0.047208,70013217,44.069471
137,672,proceso,72728,0.0004577828,0.045778,70085945,44.115249
138,673,estudio,72033,0.0004534081,0.045341,70157978,44.160590
139,674,relación,71979,0.0004530682,0.045307,70229957,44.205897
140,675,través,71976,0.0004530493,0.045305,70301933,44.251202
141,676,nombre,71679,0.0004511799,0.045118,70373612,44.296320
142,677,ejemplo,71368,0.0004492223,0.044922,70444980,44.341242
143,678,unidos,70073,0.0004410710,0.044107,70515053,44.385349
144,679,estudios,69788,0.0004392771,0.043928,70584841,44.429277
145,680,uso,69495,0.0004374328,0.043743,70654336,44.473020
146,681,nuevo,69131,0.0004351416,0.043514,70723467,44.516534
147,682,revista,68962,0.0004340779,0.043408,70792429,44.559942
148,683,investigación,68885,0.0004335932,0.043359,70861314,44.603301
149,684,medio,67927,0.0004275631,0.042756,70929241,44.646058
150,685,otra,67836,0.0004269903,0.042699,70997077,44.688757
151,686,centro,67494,0.0004248376,0.042484,71064571,44.731241
152,687,debido,67073,0.0004221877,0.042219,71131644,44.773459
153,688,análisis,66444,0.0004182285,0.041823,71198088,44.815282
154,689,antes,65927,0.0004149742,0.041497,71264015,44.856780
155,690,dentro,65157,0.0004101275,0.041013,71329172,44.897792
156,691,quien,65116,0.0004098694,0.040987,71394288,44.938779
157,692,cuenta,64656,0.0004069740,0.040697,71458944,44.979477
158,693,menos,64634,0.0004068355,0.040684,71523578,45.020160
159,694,entonces,63911,0.0004022846,0.040228,71587489,45.060389
160,695,producción,63891,0.0004021587,0.040216,71651380,45.100605
161,696,información,63743,0.0004012271,0.040123,71715123,45.140727
162,697,sur,63453,0.0003994018,0.039940,71778576,45.180667
163,698,día,63387,0.0003989863,0.039899,71841963,45.220566
164,699,están,63213,0.0003978911,0.039789,71905176,45.260355
165,700,nivel,63046,0.0003968399,0.039684,71968222,45.300039
166,701,vol,62696,0.0003946369,0.039464,72030918,45.339503
167,702,julio,62689,0.0003945928,0.039459,72093607,45.378962
168,703,tienen,62360,0.0003925219,0.039252,72155967,45.418214
169,704,juan,62298,0.0003921317,0.039213,72218265,45.457427
170,705,porque,62085,0.0003907909,0.039079,72280350,45.496507
171,706,obra,61949,0.0003899349,0.038993,72342299,45.535500
172,707,for,61799,0.0003889907,0.038899,72404098,45.574399
173,708,diferentes,61623,0.0003878829,0.038788,72465721,45.613187
174,709,diciembre,61591,0.0003876815,0.038768,72527312,45.651956
175,710,norte,60829,0.0003828851,0.038289,72588141,45.690244
176,711,educación,60731,0.0003822683,0.038227,72648872,45.728471
177,712,ni,60664,0.0003818465,0.038185,72709536,45.766656
178,713,derecho,59478,0.0003743813,0.037438,72769014,45.804094
179,714,sociedad,59122,0.0003721405,0.037214,72828136,45.841308
180,715,enero,58933,0.0003709508,0.037095,72887069,45.878403
181,716,países,58897,0.0003707242,0.037072,72945966,45.915475
182,717,núm,58884,0.0003706424,0.037064,73004850,45.952539
183,718,ellos,58596,0.0003688296,0.036883,73063446,45.989422
184,719,partido,58535,0.0003684456,0.036845,73121981,46.026267
185,720,me,58523,0.0003683701,0.036837,73180504,46.063104
186,721,da,58521,0.0003683575,0.036836,73239025,46.099940
187,722,josé,58205,0.0003663685,0.036637,73297230,46.136577
188,723,hace,58143,0.0003659782,0.036598,73355373,46.173174
189,724,importante,58137,0.0003659405,0.036594,73413510,46.209768
190,725,les,58111,0.0003657768,0.036578,73471621,46.246346
191,726,él,57936,0.0003646753,0.036468,73529557,46.282814
192,727,decir,57855,0.0003641654,0.036417,73587412,46.319230
193,728,cultura,57776,0.0003636682,0.036367,73645188,46.355597
194,729,argentina,57761,0.0003635737,0.036357,73702949,46.391954
195,730,internacional,57743,0.0003634604,0.036346,73760692,46.428300
196,731,político,57025,0.0003589410,0.035894,73817717,46.464195
197,732,región,56836,0.0003577514,0.035775,73874553,46.499970
198,733,sólo,56761,0.0003572793,0.035728,73931314,46.535698
199,734,mediante,56570,0.0003560770,0.035608,73987884,46.571305
200,735,mujeres,55980,0.0003523633,0.035236,74043864,46.606542
201,736,issn,55822,0.0003513688,0.035137,74099686,46.641679
202,737,siendo,55796,0.0003512051,0.035121,74155482,46.676799
203,738,hecho,55764,0.0003510037,0.035100,74211246,46.711899
