Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
107,643,sobre,593,0.0010773395,0.107734,279256,50.734153
108,644,mucho,589,0.0010700725,0.107007,279845,50.841161
109,645,verdad,586,0.0010646222,0.106462,280431,50.947623
110,646,allí,581,0.0010555384,0.105554,281012,51.053177
111,647,estaba,580,0.0010537216,0.105372,281592,51.158549
112,648,sé,578,0.0010500881,0.105009,282170,51.263558
113,649,mundo,575,0.0010446378,0.104464,282745,51.368021
114,650,ver,564,0.0010246535,0.102465,283309,51.470487
115,651,soy,560,0.0010173864,0.101739,283869,51.572225
116,652,parte,556,0.0010101194,0.101012,284425,51.673237
117,653,aquella,555,0.0010083026,0.100830,284980,51.774068
118,654,mejor,555,0.0010083026,0.100830,285535,51.874898
119,655,buena,550,0.0009992188,0.099922,286085,51.974820
120,656,pármeno,548,0.0009955853,0.099559,286633,52.074378
121,657,sí,548,0.0009955853,0.099559,287181,52.173937
122,658,tenía,547,0.0009937685,0.099377,287728,52.273314
123,659,día,544,0.0009883182,0.098832,288272,52.372145
124,660,hasta,543,0.0009865015,0.098650,288815,52.470796
125,661,todas,542,0.0009846847,0.098468,289357,52.569264
126,662,melibea,541,0.0009828679,0.098287,289898,52.667551
127,663,quiero,539,0.0009792344,0.097923,290437,52.765474
128,664,luego,534,0.0009701506,0.097015,290971,52.862489
129,665,cosas,528,0.0009592500,0.095925,291499,52.958414
130,666,dar,510,0.0009265483,0.092655,292009,53.051069
131,667,hombre,499,0.0009065640,0.090656,292508,53.141726
132,668,digo,497,0.0009029304,0.090293,293005,53.232019
133,669,manera,487,0.0008847628,0.088476,293492,53.320495
134,670,alguna,482,0.0008756790,0.087568,293974,53.408063
135,671,lugar,481,0.0008738623,0.087386,294455,53.495449
136,672,dicho,477,0.0008665952,0.086660,294932,53.582109
137,673,mano,476,0.0008647784,0.086478,295408,53.668586
138,674,otros,476,0.0008647784,0.086478,295884,53.755064
139,675,sea,469,0.0008520611,0.085206,296353,53.840270
140,676,toda,468,0.0008502444,0.085024,296821,53.925295
141,677,amor,463,0.0008411605,0.084116,297284,54.009411
142,678,han,463,0.0008411605,0.084116,297747,54.093527
143,679,les,453,0.0008229929,0.082299,298200,54.175826
144,680,noche,451,0.0008193594,0.081936,298651,54.257762
145,681,puede,447,0.0008120924,0.081209,299098,54.338971
146,682,agora,439,0.0007975583,0.079756,299537,54.418727
147,683,menos,435,0.0007902912,0.079029,299972,54.497756
148,684,antes,434,0.0007884745,0.078847,300406,54.576604
149,685,has,430,0.0007812074,0.078121,300836,54.654724
150,686,ojos,425,0.0007721236,0.077212,301261,54.731937
151,687,manos,423,0.0007684901,0.076849,301684,54.808786
152,688,hecho,418,0.0007594063,0.075941,302102,54.884726
153,689,rey,418,0.0007594063,0.075941,302520,54.960667
154,690,otras,416,0.0007557728,0.075577,302936,55.036244
155,691,padre,411,0.0007466890,0.074669,303347,55.110913
156,692,ellos,409,0.0007430554,0.074306,303756,55.185219
157,693,eso,409,0.0007430554,0.074306,304165,55.259524
158,694,tus,405,0.0007357884,0.073579,304570,55.333103
159,695,fuera,400,0.0007267046,0.072670,304970,55.405774
160,696,ahora,392,0.0007121705,0.071217,305362,55.476991
161,697,fin,389,0.0007067202,0.070672,305751,55.547663
162,698,uno,389,0.0007067202,0.070672,306140,55.618335
163,699,tierra,385,0.0006994532,0.069945,306525,55.688280
164,700,madre,384,0.0006976364,0.069764,306909,55.758044
165,701,visto,380,0.0006903693,0.069037,307289,55.827081
166,702,puesto,378,0.0006867358,0.068674,307667,55.895754
167,703,tres,378,0.0006867358,0.068674,308045,55.964428
168,704,nunca,373,0.0006776520,0.067765,308418,56.032193
169,705,días,372,0.0006758353,0.067584,308790,56.099777
170,706,ay,368,0.0006685682,0.066857,309158,56.166633
171,707,vn,368,0.0006685682,0.066857,309526,56.233490
172,708,cada,363,0.0006594844,0.065948,309889,56.299439
173,709,algún,362,0.0006576676,0.065767,310251,56.365205
174,710,muchas,360,0.0006540341,0.065403,310611,56.430609
175,711,estas,354,0.0006431336,0.064313,310965,56.494922
176,712,cura,353,0.0006413168,0.064132,311318,56.559054
177,713,mujer,353,0.0006413168,0.064132,311671,56.623186
178,714,después,352,0.0006395000,0.063950,312023,56.687136
179,715,dio,352,0.0006395000,0.063950,312375,56.751086
180,716,panza,352,0.0006395000,0.063950,312727,56.815036
181,717,parece,351,0.0006376833,0.063768,313078,56.878804
182,718,muerte,350,0.0006358665,0.063587,313428,56.942390
183,719,también,348,0.0006322330,0.063223,313776,57.005614
184,720,amigo,347,0.0006304162,0.063042,314123,57.068655
185,721,tener,345,0.0006267827,0.062678,314468,57.131334
186,722,saber,337,0.0006122486,0.061225,314805,57.192559
187,723,aun,334,0.0006067983,0.060680,315139,57.253238
188,724,nuestro,333,0.0006049816,0.060498,315472,57.313737
189,725,camino,332,0.0006031648,0.060316,315804,57.374053
190,726,catalinon,332,0.0006031648,0.060316,316136,57.434369
191,727,desta,332,0.0006031648,0.060316,316468,57.494686
192,728,será,332,0.0006031648,0.060316,316800,57.555002
193,729,assí,330,0.0005995313,0.059953,317130,57.614956
194,730,ti,328,0.0005958978,0.059590,317458,57.674545
