Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
103,638,resultados,23852,0.0006189130,0.061891,15575703,40.415922
104,639,re,23821,0.0006181087,0.061811,15599524,40.477733
105,640,esto,23664,0.0006140348,0.061403,15623188,40.539136
106,641,está,23402,0.0006072364,0.060724,15646590,40.599860
107,642,tipo,23399,0.0006071586,0.060716,15669989,40.660576
108,643,año,23302,0.0006046416,0.060464,15693291,40.721040
109,644,le,23277,0.0006039929,0.060399,15716568,40.781439
110,645,tiene,23131,0.0006002045,0.060020,15739699,40.841460
111,646,sistema,22889,0.0005939251,0.059393,15762588,40.900852
112,647,número,22824,0.0005922384,0.059224,15785412,40.960076
113,648,información,22775,0.0005909670,0.059097,15808187,41.019173
114,649,proceso,22638,0.0005874121,0.058741,15830825,41.077914
115,650,nivel,22498,0.0005837794,0.058378,15853323,41.136292
116,651,uso,22372,0.0005805099,0.058051,15875695,41.194343
117,652,co,22261,0.0005776297,0.057763,15897956,41.252106
118,653,from,21854,0.0005670688,0.056707,15919810,41.308813
119,654,tiempo,21830,0.0005664461,0.056645,15941640,41.365457
120,655,datos,21755,0.0005645000,0.056450,15963395,41.421907
121,656,general,21623,0.0005610748,0.056107,15985018,41.478015
122,657,this,21450,0.0005565858,0.055659,16006468,41.533673
123,658,durante,21308,0.0005529012,0.055290,16027776,41.588963
124,659,bien,21154,0.0005489052,0.054891,16048930,41.643854
125,660,vida,21116,0.0005479192,0.054792,16070046,41.698646
126,661,mismo,21043,0.0005460249,0.054602,16091089,41.753248
127,662,derechos,21000,0.0005449092,0.054491,16112089,41.807739
128,663,todo,20758,0.0005386298,0.053863,16132847,41.861602
129,664,embargo,20687,0.0005367874,0.053679,16153534,41.915281
130,665,estas,20635,0.0005354381,0.053544,16174169,41.968825
131,666,was,20553,0.0005333104,0.053331,16194722,42.022156
132,667,sino,20355,0.0005281727,0.052817,16215077,42.074973
133,668,fueron,20324,0.0005273683,0.052737,16235401,42.127710
134,669,figura,20211,0.0005244362,0.052444,16255612,42.180154
135,670,mexicana,20147,0.0005227755,0.052278,16275759,42.232431
136,671,otro,20128,0.0005222825,0.052228,16295887,42.284659
137,672,mujeres,20102,0.0005216078,0.052161,16315989,42.336820
138,673,historia,19993,0.0005187795,0.051878,16335982,42.388698
139,674,partir,19924,0.0005169891,0.051699,16355906,42.440397
140,675,ra,19912,0.0005166777,0.051668,16375818,42.492065
141,676,ni,19798,0.0005137196,0.051372,16395616,42.543437
142,677,además,19748,0.0005124222,0.051242,16415364,42.594679
143,678,tres,19566,0.0005076997,0.050770,16434930,42.645449
144,679,an,19447,0.0005046119,0.050461,16454377,42.695910
145,680,les,19432,0.0005042226,0.050422,16473809,42.746332
146,681,ciudad,19229,0.0004989552,0.049896,16493038,42.796228
147,682,otras,19141,0.0004966717,0.049667,16512179,42.845895
148,683,modelo,19118,0.0004960749,0.049607,16531297,42.895503
149,684,hasta,19011,0.0004932985,0.049330,16550308,42.944832
150,685,nos,18964,0.0004920789,0.049208,16569272,42.994040
151,686,uno,18956,0.0004918714,0.049187,16588228,43.043227
152,687,bajo,18764,0.0004868893,0.048689,16606992,43.091916
153,688,estados,18698,0.0004851768,0.048518,16625690,43.140434
154,689,respecto,18520,0.0004805580,0.048056,16644210,43.188490
155,690,mi,18512,0.0004803504,0.048035,16662722,43.236525
156,691,muy,18436,0.0004783784,0.047838,16681158,43.284363
157,692,ma,18256,0.0004737077,0.047371,16699414,43.331734
158,693,sociedad,17922,0.0004650411,0.046504,16717336,43.378238
159,694,sólo,17916,0.0004648854,0.046489,16735252,43.424726
160,695,com,17832,0.0004627057,0.046271,16753084,43.470997
161,696,vez,17794,0.0004617197,0.046172,16770878,43.517169
162,697,are,17750,0.0004605780,0.046058,16788628,43.563227
163,698,nueva,17738,0.0004602666,0.046027,16806366,43.609253
164,699,total,17691,0.0004590471,0.045905,16824057,43.655158
165,700,hay,17619,0.0004571788,0.045718,16841676,43.700876
166,701,todos,17577,0.0004560890,0.045609,16859253,43.746485
167,702,pueden,17543,0.0004552068,0.045521,16876796,43.792005
168,703,poder,17542,0.0004551808,0.045518,16894338,43.837523
169,704,sentido,17519,0.0004545840,0.045458,16911857,43.882982
170,705,población,17513,0.0004544283,0.045443,16929370,43.928425
171,706,través,17503,0.0004541688,0.045417,16946873,43.973842
172,707,enero,17498,0.0004540391,0.045404,16964371,44.019245
173,708,personas,17333,0.0004497577,0.044976,16981704,44.064221
174,709,diciembre,17229,0.0004470591,0.044706,16998933,44.108927
175,710,producción,17163,0.0004453465,0.044535,17016096,44.153462
176,711,pues,17076,0.0004430890,0.044309,17033172,44.197771
177,712,gobierno,16935,0.0004394303,0.043943,17050107,44.241714
178,713,medio,16935,0.0004394303,0.043943,17067042,44.285657
179,714,decir,16809,0.0004361609,0.043616,17083851,44.329273
180,715,era,16797,0.0004358495,0.043585,17100648,44.372858
181,716,base,16777,0.0004353305,0.043533,17117425,44.416391
182,717,it,16771,0.0004351749,0.043517,17134196,44.459908
183,718,instituto,16763,0.0004349673,0.043497,17150959,44.503405
184,719,tal,16735,0.0004342407,0.043424,17167694,44.546829
185,720,diferentes,16620,0.0004312567,0.043126,17184314,44.589955
186,721,va,16581,0.0004302447,0.043024,17200895,44.632979
187,722,variables,16554,0.0004295441,0.042954,17217449,44.675934
188,723,dx,16520,0.0004286619,0.042866,17233969,44.718800
189,724,hacia,16473,0.0004274423,0.042744,17250442,44.761544
190,725,ciencias,16376,0.0004249254,0.042493,17266818,44.804037
191,726,artículo,16324,0.0004235761,0.042358,17283142,44.846394
192,727,lugar,16268,0.0004221230,0.042212,17299410,44.888607
193,728,di,16105,0.0004178934,0.041789,17315515,44.930396
194,729,san,16067,0.0004169074,0.041691,17331582,44.972087
195,730,tienen,15973,0.0004144683,0.041447,17347555,45.013533
196,731,grupo,15958,0.0004140791,0.041408,17363513,45.054941
197,732,salud,15924,0.0004131968,0.041320,17379437,45.096261
198,733,porque,15921,0.0004131190,0.041312,17395358,45.137573
199,734,estudiantes,15892,0.0004123665,0.041237,17411250,45.178810
200,735,ello,15842,0.0004110691,0.041107,17427092,45.219917
201,736,journal,15781,0.0004094863,0.040949,17442873,45.260865
