Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
1,536,que,30242,0.0549424995,5.494250,30242,5.494250
2,537,de,26379,0.0479243501,4.792435,56621,10.286685
3,538,la,15307,0.0278091674,2.780917,71928,13.067602
4,539,en,12330,0.0224006686,2.240067,84258,15.307669
5,540,el,12062,0.0219137765,2.191378,96320,17.499046
6,541,no,10408,0.0189088531,1.890885,106728,19.389932
7,542,con,6680,0.0121359664,1.213597,113408,20.603528
8,543,por,6612,0.0120124266,1.201243,120020,21.804771
9,544,los,6455,0.0117271951,1.172720,126475,22.977490
10,545,se,6291,0.0114292462,1.142925,132766,24.120415
11,546,lo,5439,0.0098813655,0.988137,138205,25.108551
12,547,me,4856,0.0088221936,0.882219,143061,25.990771
13,548,las,4855,0.0088203768,0.882038,147916,26.872809
14,549,su,4836,0.0087858583,0.878586,152752,27.751394
15,550,le,4348,0.0078992787,0.789928,157100,28.541322
16,551,es,4084,0.0074196537,0.741965,161184,29.283288
17,552,mi,3917,0.0071162546,0.711625,165101,29.994913
18,553,yo,3571,0.0064876551,0.648766,168672,30.643679
19,554,del,3437,0.0062442091,0.624421,172109,31.268099
20,555,más,3379,0.0061388369,0.613884,175488,31.881983
21,556,como,3355,0.0060952346,0.609523,178843,32.491507
22,557,si,3211,0.0058336210,0.583362,182054,33.074869
23,558,don,2970,0.0053957815,0.539578,185024,33.614447
24,559,al,2545,0.0046236579,0.462366,187569,34.076813
25,560,un,2494,0.0045310030,0.453100,190063,34.529913
26,561,para,2415,0.0043874789,0.438748,192478,34.968661
27,562,quijote,2241,0.0040713624,0.407136,194719,35.375797
28,563,qué,2187,0.0039732573,0.397326,196906,35.773123
29,564,sancho,2174,0.0039496394,0.394964,199080,36.168087
30,565,porque,2029,0.0036862090,0.368621,201109,36.536708
31,566,ni,2003,0.0036389732,0.363897,203112,36.900605
32,567,te,1950,0.0035426848,0.354268,205062,37.254873
33,568,dijo,1898,0.0034482132,0.344821,206960,37.599695
34,569,tan,1849,0.0033591919,0.335919,208809,37.935614
35,570,él,1828,0.0033210399,0.332104,210637,38.267718
36,571,pues,1741,0.0031629817,0.316298,212378,38.584016
37,572,todo,1705,0.0030975783,0.309758,214083,38.893774
38,573,sin,1694,0.0030775939,0.307759,215777,39.201533
39,574,bien,1679,0.0030503425,0.305034,217456,39.506568
40,575,señor,1653,0.0030031067,0.300311,219109,39.806878
41,576,una,1604,0.0029140854,0.291409,220713,40.098287
42,577,ha,1602,0.0029104518,0.291045,222315,40.389332
43,578,sus,1563,0.0028395981,0.283960,223878,40.673292
44,579,ser,1496,0.0027178751,0.271788,225374,40.945079
45,580,tu,1414,0.0025689007,0.256890,226788,41.201969
46,581,ya,1353,0.0024580782,0.245808,228141,41.447777
47,582,pero,1317,0.0023926748,0.239267,229458,41.687045
48,583,esto,1306,0.0023726904,0.237269,230764,41.924314
49,584,así,1261,0.0022909362,0.229094,232025,42.153407
50,585,dios,1233,0.0022400669,0.224007,233258,42.377414
51,586,había,1211,0.0022000981,0.220010,234469,42.597424
52,587,todos,1146,0.0020820086,0.208201,235615,42.805625
53,588,quien,1131,0.0020547572,0.205476,236746,43.011100
54,589,respondió,1085,0.0019711862,0.197119,237831,43.208219
55,590,este,1083,0.0019675526,0.196755,238914,43.404974
56,591,esta,1049,0.0019057828,0.190578,239963,43.595553
